Month,Municipality,Nb.Floor,Nb.Room,Garage,Garden,Furnished,Promise,New.Project,Announcer.Type,price_m2,Region
Jul,BABA HASSEN,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,125e3,WEST
Jul,BEB EZZOUAR,14,3,FALSE,FALSE,TRUE,FALSE,FALSE,PARTICULIER,180952.38095238095,EAST
Jul,BACH DJERRAH,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,156250,NORTH
Jul,BIR MOURAD RAIS,4,3,FALSE,FALSE,TRUE,FALSE,FALSE,BUREAU D'AFFAIRE,257142.85714285713,NORTH
Jul,BIR KHADEM,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,BUREAU D'AFFAIRE,218750,NORTH
Jul,BORDJ EL KIFFAN,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,125e3,EAST
Jul,ALGER,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,287356.3218390805,NORTH
Jul,DRARIA,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,90666.66666666667,WEST
Jul,EL ACHOUR,1,3,FALSE,FALSE,TRUE,FALSE,FALSE,PARTICULIER,228395.06172839506,WEST
Jul,KOUBA,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,314285.71428571426,NORTH
Jul,LES EUCALYPTUS,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,133333.33333333334,SOUTH
Jul,LES EUCALYPTUS,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,78571.42857142857,SOUTH
Jul,SOUIDANIA,1,3,TRUE,FALSE,FALSE,TRUE,TRUE,BUREAU D'AFFAIRE,180898.8764044944,WEST
Jul,ZERALDA,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,12e4,WEST
Jul,BORDJ EL BAHRI,3,4,FALSE,FALSE,FALSE,FALSE,TRUE,AGENCE,142307.6923076923,EAST
Jul,BORDJ EL BAHRI,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,163157.8947368421,EAST
Jul,EL ACHOUR,1,4,TRUE,FALSE,FALSE,FALSE,FALSE,AGENCE,276923.07692307694,WEST
Jul,BIR MOURAD RAIS,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,33e4,NORTH
Jul,SOUIDANIA,1,4,TRUE,FALSE,FALSE,TRUE,TRUE,BUREAU D'AFFAIRE,159813.08411214955,WEST
Jul,ALGER,6,5,TRUE,FALSE,TRUE,FALSE,FALSE,PARTICULIER,167441.86046511628,NORTH
Jul,KOUBA,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,280952.38095238095,NORTH
Jul,SAOULA,2,5,FALSE,FALSE,FALSE,FALSE,FALSE,AGENCE,158878.5046728972,SOUTH
Jul,SOUIDANIA,6,5,TRUE,FALSE,TRUE,TRUE,TRUE,BUREAU D'AFFAIRE,189873.41772151898,WEST
Jul,BEB EZZOUAR,14,3,FALSE,FALSE,FALSE,FALSE,FALSE,PARTICULIER,180952.38095238095,EAST
Jul,DRARIA,1,3,FALSE,FALSE,TRUE,FALSE,FALSE,PARTICULIER,150793.6507936508,WEST
